name,key_width,payload_width,match_type,location,context,database,block
acl_map_fi_header_type_to_protocol_number_table,5,19,direct,internal,network,internal_npe,NPE
bfd_desired_tx_interval_table,3,32,direct,internal,host,internal_npe,NPE
bfd_detection_multiple_table,3,8,direct,internal,host,internal_npe,NPE
bfd_inject_inner_da_high_table,1,16,direct,internal,host,internal_npe,NPE
bfd_inject_inner_da_low_table,1,32,direct,internal,host,internal_npe,NPE
bfd_inject_inner_ethernet_header_static_table,4,60,direct,internal,host,internal_npe,NPE
bfd_inject_ttl_static_table,2,8,direct,internal,host,internal_npe,NPE
bfd_ipv6_sip_A_table,8,32,direct,internal,host,internal_npe,NPE
bfd_ipv6_sip_B_table,8,32,direct,internal,host,internal_npe,NPE
bfd_ipv6_sip_C_table,8,32,direct,internal,host,internal_npe,NPE
bfd_ipv6_sip_D_table,8,32,direct,internal,host,internal_npe,NPE
bfd_punt_encap_static_table,1,27,direct,internal,network,internal_npe,NPE
bfd_required_tx_interval_table,3,32,direct,internal,host,internal_npe,NPE
bfd_set_inject_type_static_table,1,8,direct,internal,host,internal_npe,NPE
bfd_udp_port_static_table,2,48,direct,internal,host,internal_npe,NPE
bvn_tc_map_table,6,3,direct,internal,network,internal_npe,NPE
ccm_flags_table,4,8,direct,internal,host,internal_npe,NPE
dsp_l2_attributes_table,6,52,direct,internal,network,internal_npe,NPE
dsp_l3_attributes_table,6,38,direct,internal,network,internal_npe,NPE
ene_macro_code_tpid_profile_static_table,4,24,direct,internal,network,internal_npe,NPE
eth_meter_profile_mapping_table,4,4,direct,internal,network,internal_npe,NPE
eth_oam_set_da_mc2_static_table,1,13,direct,internal,host,internal_npe,NPE
eth_oam_set_da_mc_static_table,1,32,direct,internal,host,internal_npe,NPE
eth_rtf_conf_set_mapping_table,10,12,direct,internal,network,internal_npe,NPE
eve_byte_addition_static_table,5,14,direct,internal,network,internal_npe,NPE
eve_to_ethernet_ene_static_table,7,24,direct,internal,network,internal_npe,NPE
fabric_header_types_static_table,4,1,direct,internal,fabric,internal_npe,NPE
fabric_rx_fwd_error_handling_counter_table,4,20,direct,internal,fabric,internal_npe,NPE
fabric_rx_fwd_error_handling_destination_table,4,20,direct,internal,fabric,internal_npe,NPE
fabric_rx_term_error_handling_counter_table,1,20,direct,internal,fabric,internal_npe,NPE
fabric_rx_term_error_handling_destination_table,1,20,direct,internal,fabric,internal_npe,NPE
fabric_scaled_mc_map_to_netork_slice_static_table,4,20,direct,internal,fabric,internal_npe,NPE
fabric_smcid_threshold_table,1,16,direct,internal,fabric,internal_npe,NPE
fabric_tm_headers_table,7,11,direct,internal,fabric,internal_npe,NPE
fe_smcid_threshold_table,1,16,direct,internal,fabric_element,internal_npe,NPE
first_ene_static_table,3,8,direct,internal,network,internal_npe,NPE
get_ecm_meter_ptr_table,2,20,direct,internal,fabric,internal_npe,NPE
get_ingress_ptp_info_and_is_slp_dm_static_table,2,4,direct,internal,network,internal_npe,NPE
get_l2_rtf_conf_set_and_init_stages,8,15,direct,internal,network,internal_npe,NPE
get_non_comp_mc_value_static_table,2,1,direct,internal,network,internal_npe,NPE
gre_proto_static_table,2,24,direct,internal,network,internal_npe,NPE
ibm_mc_cmd_to_encap_data_table,5,28,direct,internal,fabric,internal_npe,NPE
ibm_uc_cmd_to_encap_data_table,5,80,direct,internal,fabric,internal_npe,NPE
ingress_ip_qos_mapping_table,11,32,direct,internal,network,internal_npe,NPE
inner_tpid_table,4,16,direct,internal,host,internal_npe,NPE
ip_fwd_header_mapping_to_ethtype_static_table,4,3,direct,internal,network,internal_npe,NPE
ip_mc_local_inject_type_static_table,5,8,direct,internal,network,internal_npe,NPE
ip_mc_next_macro_static_table,2,10,direct,internal,network,internal_npe,NPE
ip_meter_profile_mapping_table,4,4,direct,internal,network,internal_npe,NPE
ip_rx_global_counter_table,1,20,direct,internal,network,internal_npe,NPE
ipv4_acl_sport_static_table,3,8,direct,internal,network,internal_npe,NPE
ipv4_rtf_conf_set_mapping_table,10,24,direct,internal,network,internal_npe,NPE
ipv6_acl_sport_static_table,3,8,direct,internal,network,internal_npe,NPE
ipv6_mc_select_qos_id,1,8,direct,internal,device,internal_npe,NPE
ipv6_rtf_conf_set_mapping_table,10,24,direct,internal,network,internal_npe,NPE
is_pacific_b1_static_table,1,1,direct,internal,network,internal_npe,NPE
l2_lp_profile_filter_table,4,1,direct,internal,network,internal_npe,NPE
l2_lpts_ip_fragment_static_table,2,2,direct,internal,network,internal_npe,NPE
l2_lpts_skip_p2p_static_table,3,1,direct,internal,network,internal_npe,NPE
l2_tunnel_term_next_macro_static_table,5,10,direct,internal,network,internal_npe,NPE
l3_vxlan_overlay_sa_table,4,32,direct,internal,network,internal_npe,NPE
lpts_2nd_lookup_table,5,25,direct,internal,network,internal_npe,NPE
lpts_meter_table,8,20,direct,internal,network,internal_npe,NPE
mac_af_npp_attributes_table,8,49,direct,internal,network,internal_npe,NPE
mac_qos_mapping_table,8,32,direct,internal,network,internal_npe,NPE
map_ene_subcode_to8bit_static_table,5,8,direct,internal,network,internal_npe,NPE
map_more_labels_static_table,4,24,direct,internal,network,internal_npe,NPE
map_recyle_tx_to_rx_data_on_pd_static_table,2,8,direct,internal,network,internal_npe,NPE
map_tm_dp_ecn_to_wa_ecn_dp_static_table,2,2,direct,internal,fabric,internal_npe,NPE
mep_address_prefix_table,2,32,direct,internal,host,internal_npe,NPE
mirror_egress_attributes_table,9,32,direct,internal,network,internal_npe,NPE
mirror_to_dsp_in_npu_soft_header_table,5,1,direct,internal,network,internal_npe,NPE
mldp_protection_table,9,2,direct,internal,network,internal_npe,NPE
mpls_encap_control_static_table,6,5,direct,internal,network,internal_npe,NPE
mpls_header_offset_in_bytes_static_table,1,8,direct,internal,network,internal_npe,NPE
mpls_l3_lsp_static_table,3,16,direct,internal,network,internal_npe,NPE
mpls_labels_1_to_4_jump_offset_static_table,2,8,direct,internal,network,internal_npe,NPE
mpls_lsp_labels_config_static_table,6,13,direct,internal,network,internal_npe,NPE
mpls_qos_mapping_table,7,32,direct,internal,network,internal_npe,NPE
next_header_1_is_l4_over_ipv4_static_table,2,1,direct,internal,network,internal_npe,NPE
nh_macro_code_to_id_l6_static_table,2,8,direct,internal,network,internal_npe,NPE
nhlfe_type_mapping_static_table,4,24,direct,internal,network,internal_npe,NPE
nw_smcid_threshold_table,1,16,direct,internal,network,internal_npe,NPE
oamp_drop_destination_static_table,1,20,direct,internal,host,internal_npe,NPE
oamp_redirect_get_counter_table,8,20,direct,internal,host,internal_npe,NPE
oamp_redirect_punt_eth_hdr_1_table,2,32,direct,internal,host,internal_npe,NPE
oamp_redirect_punt_eth_hdr_2_table,2,32,direct,internal,host,internal_npe,NPE
oamp_redirect_punt_eth_hdr_3_table,2,32,direct,internal,host,internal_npe,NPE
oamp_redirect_punt_eth_hdr_4_table,2,16,direct,internal,host,internal_npe,NPE
oamp_redirect_table,8,41,direct,internal,host,internal_npe,NPE
outer_tpid_table,4,16,direct,internal,host,internal_npe,NPE
per_port_destination_table,6,20,direct,internal,udc,internal_npe,NPE
pfc_tc_table,4,32,direct,internal,host,internal_npe,NPE
pfc_vector_static_table,3,8,direct,internal,host,internal_npe,NPE
punt_rcy_inject_header_ene_encap_table,8,28,direct,internal,network,internal_npe,NPE
punt_select_nw_ene_static_table,5,32,direct,internal,network,internal_npe,NPE
recycled_inject_up_info_table,6,18,direct,internal,network,internal_npe,NPE
resolution_set_next_macro_table,2,11,direct,internal,network,internal_npe,NPE
rewrite_sa_prefix_index_table,4,32,direct,internal,network,internal_npe,NPE
rtf_conf_set_to_og_pcl_compress_bits_mapping_table,10,4,direct,internal,network,internal_npe,NPE
rtf_conf_set_to_og_pcl_ids_mapping_table,10,32,direct,internal,network,internal_npe,NPE
rtf_conf_set_to_post_fwd_stage_mapping_table,9,6,direct,internal,device,internal_npe,NPE
rx_fwd_error_handling_counter_table,6,20,direct,internal,network,internal_npe,NPE
rx_fwd_error_handling_destination_table,1,20,direct,internal,network,internal_npe,NPE
rx_ip_p_counter_offset_static_table,3,3,direct,internal,network,internal_npe,NPE
rx_map_npp_to_ssp_table,8,27,direct,internal,network,internal_npe,NPE
rx_obm_code_table,8,41,direct,internal,network,internal_npe,NPE
rx_redirect_code_ext_table,8,20,direct,internal,network,internal_npe,NPE
rx_redirect_code_table,8,94,direct,internal,network,internal_npe,NPE
rx_term_error_handling_counter_table,6,20,direct,internal,network,internal_npe,NPE
rx_term_error_handling_destination_table,1,20,direct,internal,network,internal_npe,NPE
set_ene_macro_and_bytes_to_remove_table,5,20,direct,internal,fabric_element,internal_npe,NPE
sip_index_table,4,32,direct,internal,network,internal_npe,NPE
snoop_to_dsp_in_npu_soft_header_table,8,1,direct,internal,network,internal_npe,NPE
tunnel_qos_static_table,2,8,direct,internal,network,internal_npe,NPE
tx_error_handling_counter_table,6,20,direct,internal,network,internal_npe,NPE
txpp_mapping_qos_tag_table,11,30,direct,internal,network,internal_npe,NPE
bfd_udp_port_map_static_table,38,11,ternary,internal,network,internal_npe,NPE
ecn_remark_static_table,13,3,ternary,internal,network,internal_npe,NPE
ene_byte_addition_static_table,32,14,ternary,internal,network,internal_npe,NPE
erpp_fabric_counters_offset_table,6,3,ternary,internal,fabric,internal_npe,NPE
erpp_fabric_counters_table,21,21,ternary,internal,fabric,internal_npe,NPE
fabric_and_tm_header_size_static_table,13,6,ternary,internal,fabric,internal_npe,NPE
fabric_header_ene_macro_table,4,8,ternary,internal,fabric,internal_npe,NPE
fabric_headers_type_table,6,4,ternary,internal,fabric,internal_npe,NPE
