block,register,bit,bit_i,is_masked,reviewed,interrupt_type,notification_type,description,error_effect,app SW action
cdb.core[],interrupt_register,mem_protect_interrupt_summary,0,False,,SUMMARY,,,,SW_ACTION_NONE
cdb.core[],interrupt_register,lpm0_shared_sram_1b_err_int_reg_summary,1,False,,SUMMARY,,,,SW_ACTION_NONE
cdb.core[],interrupt_register,lpm1_shared_sram_1b_err_int_reg_summary,2,False,,SUMMARY,,,,SW_ACTION_NONE
cdb.core[],interrupt_register,lpm0_shared_sram_2b_err_int_reg_summary,3,False,,SUMMARY,,,,SW_ACTION_NONE
cdb.core[],interrupt_register,lpm1_shared_sram_2b_err_int_reg_summary,4,False,,SUMMARY,,,,SW_ACTION_NONE
cdb.core[],interrupt_register,em0_shared_sram_err_int_reg_summary,5,False,,SUMMARY,,,,SW_ACTION_NONE
cdb.core[],interrupt_register,em1_shared_sram_err_int_reg_summary,6,False,,SUMMARY,,,,SW_ACTION_NONE
cdb.core[],interrupt_register,lpm0_no_tcam_hit_int_reg_summary,7,False,,SUMMARY,,,,SW_ACTION_NONE
cdb.core[],interrupt_register,lpm1_no_tcam_hit_int_reg_summary,8,False,,SUMMARY,,,,SW_ACTION_NONE
cdb.core[],mem_protect_interrupt,ecc_1b_err_interrupt,0,False,,MEM_PROTECT,,,,SW_ACTION_NONE
cdb.core[],mem_protect_interrupt,ecc_2b_err_interrupt,1,False,,MEM_PROTECT,,,,SW_ACTION_HARD_RESET
cdb.core[],mem_protect_interrupt,parity_err_interrupt,2,False,,MEM_PROTECT,,,,SW_ACTION_HARD_RESET
cdb.core[],lpm_shared_sram_1b_err_int_reg[],lpm_shared_sram_1b_err_interrupt,0,False,,OTHER,,,,SW_ACTION_NONE
cdb.core[],lpm_shared_sram_2b_err_int_reg[],lpm_shared_sram_2b_err_interrupt,0,False,,OTHER,,,,SW_ACTION_NONE
cdb.core[],em_shared_sram_err_int_reg[],em_shared_sram_err_interrupt,0,True,,OTHER,,,,SW_ACTION_NONE
cdb.core[],lpm_no_tcam_hit_int_reg[],lpm_no_tcam_hit_int,0,True,,OTHER,,,,SW_ACTION_NONE
cdb.top,interrupt_register,mem_protect_interrupt_summary,0,False,,SUMMARY,,,,SW_ACTION_NONE
cdb.top,interrupt_register,cdb_core0_interrupt_summary_reg_summary,1,False,,SUMMARY,,,,SW_ACTION_NONE
cdb.top,interrupt_register,cdb_core1_interrupt_summary_reg_summary,2,False,,SUMMARY,,,,SW_ACTION_NONE
cdb.top,interrupt_register,cdb_core2_interrupt_summary_reg_summary,3,False,,SUMMARY,,,,SW_ACTION_NONE
cdb.top,interrupt_register,cdb_core3_interrupt_summary_reg_summary,4,False,,SUMMARY,,,,SW_ACTION_NONE
